"years" "SSB" "minSSB" "maxSSB" "R" "Catch" "Fbar"
"1" 1983 280201.034489965 162517.836692552 483101.555663551 252146247.085025 234771.00760094 0.678520902713725
"2" 1984 163034.244088915 110897.927042334 239681.348917343 74760311.4665902 379659.405441139 0.78639997819033
"3" 1985 272575.816641451 172118.686629525 431664.784763754 521234025.498871 313966.070570646 0.826051177377407
"4" 1986 222210.241072942 163869.034964302 301322.2800052 68722543.9036613 547966.593504452 0.564324417662064
"5" 1987 686161.572712378 432837.019563801 1087748.23452393 54140251.4735531 409862.442080299 0.446970572255158
"6" 1988 449795.868159544 301235.178214176 671622.498450538 192824865.145336 313016.183239743 0.622723339640525
"7" 1989 198135.002336228 139119.762313252 282184.777331505 114214576.709189 253228.001247528 0.634300038775763
"8" 1990 293644.874159028 190207.911259141 453331.891134616 191678228.265429 315253.532652245 0.708310324089309
"9" 1991 311748.453854291 219993.461192822 441772.668849268 175224874.960146 365250.703428307 0.516642879825869
"10" 1992 421609.385691278 289505.728803469 613992.941824116 47285921.3042481 567009.260051169 0.748865286515062
"11" 1993 289768.59906077 197486.111841736 425173.396845904 231554401.51091 155423.919648132 0.324348088984745
"12" 1994 221701.695127955 159573.007305367 308019.773849029 276508783.458372 171195.058948213 0.278639064415053
"13" 1995 554936.904881928 376982.936641608 816893.653445919 80335865.7495256 601306.265191035 0.524471418115975
"14" 1996 390346.356055735 270378.537222743 563544.278518178 468495990.029383 238023.790580829 0.377430675959992
"15" 1997 324000.918180523 243798.623493574 430587.316193724 67169819.1271937 504884.423059226 0.432287670579757
"16" 1998 537904.610470008 361706.861827809 799933.317556559 132072183.198149 383684.891023943 0.507574689240496
"17" 1999 312768.73300178 217464.173468799 449840.903828576 230724256.196822 359028.106566967 1.00173398829604
"18" 2000 197068.859174816 146192.599314728 265650.487360552 264162853.710164 419957.567647848 0.83503909691866
"19" 2001 197540.032474156 139657.79477314 279412.004845688 413258826.786754 481201.92634114 1.28264417783271
"20" 2002 182664.740890205 128541.329116055 259577.272103359 31953934.4078239 705809.218416594 0.976365901122567
"21" 2003 189334.432197429 123207.156767602 290953.286773268 178650743.368564 150549.330087513 0.788427804274414
"22" 2004 90774.2386412708 63965.5568201132 128818.739498746 77680831.3556305 211301.252881709 0.841297853807705
"23" 2005 110462.795579896 72861.425658694 167468.987835675 171330905.283272 99906.6490739562 0.401924122789795
"24" 2006 135065.251251993 94969.5765686775 192089.116903367 96190309.1174135 208491.490919077 0.581091730755822
"25" 2007 169769.170297158 116271.626350087 247881.379904375 203753652.752631 70451.3049740464 0.207515172092557
"26" 2008 208003.095837375 146962.235814401 294397.316685982 106252067.526145 219820.092827846 0.445939182975743
"27" 2009 257545.465841688 176462.713847749 375884.885420276 618792811.227621 222034.95183957 0.546877015192637
"28" 2010 267695.036845979 199767.410479743 358720.336714966 52003783.15526 465107.634258816 0.384009339573476
"29" 2011 431669.745093763 301783.905509771 617457.609326623 41246806.876645 308808.670573229 0.531612503904754
"30" 2012 219027.561169133 150964.349216568 317777.49382987 112372339.685441 20219.3656157752 0.0742685879068099
"31" 2013 122245.887980308 87250.7637520199 171277.092434024 54951757.0127428 115051.558994323 0.578409154568213
"32" 2014 96501.4143091449 67429.6982124306 138107.142854578 213774507.907569 46934.1403998503 0.274425783803928
"33" 2015 88097.9358316474 64581.2932023242 120177.932539724 38982899.1282692 89215.8163560354 0.224007167348334
"34" 2016 212971.712052465 151140.128386 300098.660884552 301312471.361949 8042.21366868138 0.0224990133952983
"35" 2017 172888.504140177 129300.813252093 231169.735998117 28198921.6453611 230817.311821843 0.456513744905045
"36" 2018 174913.913154718 126048.250751437 242723.535096322 54677605.5804569 91512.4466832548 0.375701217529141
"37" 2019 114960.357979994 81737.0161694574 161687.868315247 124074117.4701 45816.4271446917 0.2712998869284
"38" 2020 130131.458035123 94174.1818160902 179817.823141985 60181653.0807714 140786.17516058 0.371698037702501
"39" 2021 145375.859603251 99631.1681464241 212123.785644309 44035214.4376815 14971.0749257841 0.0478855946959987
"40" 2022 160671.710525435 112616.64388812 229232.533237413 88926493.5343238 NA NA
